Date,rv5,rq5,bpv5,rsp,rsn,n5,pair
2014-10-10,4.6376360481215615e-05,2.9383786873769564e-08,3.134409305830419e-05,1.710564607278143e-05,2.9270714408434187e-05,251,USDCAD
2014-10-12,1.6722060571760288e-06,3.423710107925689e-12,2.040645901173655e-06,6.590289079051723e-07,1.013177149270856e-06,35,USDCAD
2014-10-13,1.828571547259597e-05,4.116420119827137e-10,1.796207245515212e-05,8.887002509798531e-06,9.398712962797436e-06,287,USDCAD
2014-10-14,1.6675645556147366e-05,4.3886168825677776e-10,1.6682606199454434e-05,1.061640760226313e-05,6.059237953884237e-06,287,USDCAD
2014-10-15,7.083618791591548e-05,1.259865855380648e-08,8.166871118188052e-05,2.8453068331691217e-05,4.238311958422427e-05,287,USDCAD
2014-10-16,5.189429177594853e-05,4.3178938915833424e-09,4.557329348156927e-05,2.4724538031232647e-05,2.716975374471587e-05,287,USDCAD
2014-10-17,3.085622164867405e-05,3.1503651498833943e-09,3.039075492212352e-05,1.545733379628575e-05,1.539888785238831e-05,251,USDCAD
2014-10-19,9.48106640205e-07,1.0537991434189237e-12,9.01510940905566e-07,7.218068788664785e-07,2.262997613385217e-07,35,USDCAD
2014-10-20,1.220166873281209e-05,2.7072756182348315e-10,1.050594735865695e-05,5.6713689805649694e-06,6.530299752247121e-06,287,USDCAD
2014-10-21,1.545779343149366e-05,3.6402358157207244e-10,1.3570053383396311e-05,6.884938053053953e-06,8.572855378439712e-06,287,USDCAD
2014-10-22,7.216624033016266e-05,1.1024591297079452e-07,4.739276383294381e-05,3.122098512398798e-05,4.094525520617468e-05,287,USDCAD
2014-10-23,1.8128308333584325e-05,5.802147183745794e-10,1.723027243931925e-05,7.658729662036179e-06,1.0469578671548148e-05,287,USDCAD
2014-10-24,1.274216355743538e-05,3.590430237336124e-10,1.072572096427506e-05,6.436456929806149e-06,6.3057066276292295e-06,251,USDCAD
2014-10-26,1.1314845127741524e-06,1.5980248916507326e-12,1.267475265296293e-06,5.871847400282298e-07,5.442997727459227e-07,35,USDCAD
2014-10-27,1.1256979444082217e-05,2.466397446242031e-10,1.1058353802803152e-05,5.768298994850286e-06,5.4886804492319305e-06,287,USDCAD
2014-10-28,1.5614884266775705e-05,8.573143367111113e-10,1.662357714922594e-05,5.223827450030938e-06,1.0391056816744764e-05,287,USDCAD
2014-10-29,2.8897804527861e-05,6.794963258403507e-09,3.313808058207041e-05,2.014807946947861e-05,8.74972505838239e-06,287,USDCAD
2014-10-30,1.7547351264393372e-05,4.898841430818221e-10,1.888767251166562e-05,8.136971482294842e-06,9.410379782098532e-06,287,USDCAD
2014-10-31,3.257840725593062e-05,2.774445571131681e-09,3.221484868555775e-05,2.1012919881623817e-05,1.1565487374306794e-05,251,USDCAD
2014-11-02,5.25480407689887e-07,6.981625595458863e-13,2.282657328709971e-07,2.676478244777387e-07,2.578325832121483e-07,23,USDCAD
2014-11-03,2.5582798988869817e-05,1.0935995903435174e-09,2.5051907883612545e-05,1.5338814254334607e-05,1.0243984734535212e-05,287,USDCAD
2014-11-04,2.3074522565312016e-05,1.2476372900213691e-09,2.153351096358036e-05,1.2218148549864267e-05,1.0856374015447744e-05,287,USDCAD
2014-11-05,3.076906101233897e-05,2.09840631398297e-09,3.141031833336395e-05,1.32218829370363e-05,1.754717807530267e-05,287,USDCAD
2014-11-06,2.021940169439101e-05,7.92104117538632e-10,2.124394920823233e-05,1.1299179702652605e-05,8.920221991738406e-06,287,USDCAD
2014-11-07,8.695897665419861e-05,3.065907842513967e-07,2.8742684159981825e-05,1.7662246942105268e-05,6.929672971209334e-05,263,USDCAD
2014-11-09,9.638451951477991e-07,2.41473374488921e-12,7.382423132753941e-07,3.914397298205985e-07,5.724054653272008e-07,23,USDCAD
2014-11-10,1.4644346245189948e-05,3.740120593617378e-10,1.436989511665181e-05,8.944996664970136e-06,5.699349580219811e-06,287,USDCAD
2014-11-11,1.4877682027841455e-05,3.6145022577383666e-10,1.4797726005333988e-05,6.327603509102248e-06,8.550078518739209e-06,287,USDCAD
2014-11-12,1.92493503076023e-05,6.099092411434963e-10,1.882612402517184e-05,8.896320929633176e-06,1.0353029377969123e-05,287,USDCAD
2014-11-13,2.1326846459312228e-05,8.923545226236261e-10,1.9945049586380835e-05,1.112596819871681e-05,1.020087826059542e-05,287,USDCAD
2014-11-14,3.2922831950058826e-05,3.834440070195798e-09,3.416052301652987e-05,1.2148141002805882e-05,2.0774690947252936e-05,263,USDCAD
2014-11-16,8.177737529109712e-07,1.191440975240307e-12,4.642471204439477e-07,5.927793191912825e-07,2.249944337196888e-07,23,USDCAD
2014-11-17,1.5147493404918e-05,3.0484825073721624e-10,1.3685598081022031e-05,6.793499535198373e-06,8.353993869719626e-06,287,USDCAD
2014-11-18,1.522317564770363e-05,5.071661968506762e-10,1.4240280897541676e-05,7.404586749972443e-06,7.818588897731185e-06,287,USDCAD
2014-11-19,2.0536749892109537e-05,7.88375354057456e-10,1.983229859311205e-05,1.0731071164630428e-05,9.80567872747911e-06,287,USDCAD
2014-11-20,1.9896444905635503e-05,7.40040310942524e-10,1.9372414128879982e-05,9.154299681637578e-06,1.074214522399793e-05,287,USDCAD
2014-11-21,5.3122601182900754e-05,6.676619187750634e-08,3.557161393358022e-05,1.1451955310225944e-05,4.167064587267481e-05,263,USDCAD
2014-11-23,8.458439182049887e-07,6.969862054423827e-13,8.927973857999912e-07,4.2088229038577474e-07,4.24961627819214e-07,23,USDCAD
2014-11-24,1.4460294546269449e-05,4.2739265611000757e-10,1.1850309312294351e-05,8.724477094309158e-06,5.735817451960292e-06,287,USDCAD
2014-11-25,2.16628520207584e-05,9.153486042349299e-10,1.94678464800669e-05,8.596856743745626e-06,1.3065995277012775e-05,287,USDCAD
2014-11-26,1.9136069933944423e-05,8.63492686331201e-10,1.560188353431359e-05,9.178943841897257e-06,9.957126092047171e-06,287,USDCAD
2014-11-27,3.1147265252956866e-05,3.754099737981114e-09,3.032676247317605e-05,2.031338395937488e-05,1.083388129358199e-05,287,USDCAD
2014-11-28,3.078197986364963e-05,2.02794364991399e-09,3.06645177741644e-05,1.7825374308742756e-05,1.2956605554906875e-05,263,USDCAD
2014-11-30,8.848071357266932e-07,7.512599801719626e-13,9.708008812375593e-07,7.909222680682242e-07,9.388486765846908e-08,23,USDCAD
2014-12-01,3.463337455032434e-05,1.6017187208763867e-09,3.598196585096861e-05,1.3290279377148846e-05,2.1343095173175505e-05,287,USDCAD
